,x,edge_index,edge_type,y,num_nodes,api_file_name
10,"[[-0.11960306  0.27440992  0.07737933 ... -0.1930747  -0.3242719
   0.30427325]
 [-0.11089072  0.32666057  0.16542143 ... -0.22467975 -0.30934817
   0.3008332 ]
 [-0.13871218  0.2754646   0.08744549 ... -0.19497009 -0.3395066
   0.3599229 ]
 [-0.12051895  0.3847501   0.09546477 ... -0.2408664  -0.27755266
   0.34003985]]","[[0 1 2 1 1 3 0 2 0 3]
 [1 0 1 2 3 1 2 0 3 0]]",[1 1 0 0 0 0 1 1 1 1],[0],4,0_sample-4_PreparedStatement.executeQuery_graph_dump.txt
11,"[[-0.12407854  0.31665334 -0.04411918 ... -0.20133169 -0.3174442
   0.3008983 ]
 [-0.14619443  0.3599401   0.06635994 ... -0.27375907 -0.3175243
   0.34883186]
 [-0.12406713  0.14306344 -0.08094337 ... -0.16390583 -0.41022488
   0.29609838]]","[[0 1 2 1 0 2]
 [1 0 1 2 2 0]]",[1 1 0 0 1 1],[0],3,2_sample-6_PreparedStatement.executeQuery_graph_dump.txt
12,"[[-0.05548389  0.36617747  0.01437866 ... -0.3085893  -0.28511736
   0.2687996 ]
 [-0.11089072  0.32666057  0.16542143 ... -0.22467975 -0.30934817
   0.3008332 ]
 [-0.14424635  0.25807765  0.0794223  ... -0.24712978 -0.39424503
   0.38064092]
 [-0.09299336  0.3444246   0.09927902 ... -0.2239922  -0.27603903
   0.31681567]
 [-0.03476823  0.23441619 -0.01820316 ... -0.3894069  -0.31259415
   0.32654506]
 [-0.12051895  0.3847501   0.09546477 ... -0.2408664  -0.27755266
   0.34003985]]","[[0 1 2 1 1 3 1 4 1 5 0 2 0 3 0 4 0 5]
 [1 0 1 2 3 1 4 1 5 1 2 0 3 0 4 0 5 0]]",[1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1],[0],6,85_sample-0_PreparedStatement.executeQuery_graph_dump.txt
13,"[[-0.0663939   0.27701762  0.15870416 ... -0.18105668 -0.38304743
   0.35615465]
 [-0.09848104  0.24170575  0.02533753 ... -0.20465021 -0.4057712
   0.38539878]]","[[0 1]
 [1 0]]",[1 1],[0],2,4_sample-10_PreparedStatement.executeQuery_graph_dump.txt
14,"[[-0.11248978  0.29688132  0.05498578 ... -0.21576932 -0.3730782
   0.39124888]
 [-0.07124972  0.17875084  0.06835856 ... -0.23277804 -0.36001924
   0.314326  ]]","[[0 1]
 [1 0]]",[1 1],[0],2,4_sample-9_PreparedStatement.executeQuery_graph_dump.txt
15,"[[-0.13899705  0.23740587  0.08239985 ... -0.15771064 -0.35018244
   0.34545636]
 [-0.11526565  0.33784723  0.16104177 ... -0.22745793 -0.30486178
   0.29367462]
 [-0.00228449  0.19225375  0.06854344 ... -0.41220853 -0.2932852
   0.20801361]
 [-0.03392747  0.24507171  0.05657496 ... -0.44978523 -0.25115496
   0.3397084 ]
 [-0.12051895  0.3847501   0.09546477 ... -0.2408664  -0.27755266
   0.34003985]]","[[0 1 2 1 1 3 1 4 0 2 0 3 0 4]
 [1 0 1 2 3 1 4 1 2 0 3 0 4 0]]",[1 1 0 0 0 0 0 0 1 1 1 1 1 1],[0],5,7_sample-6_PreparedStatement.executeQuery_graph_dump.txt
16,"[[-0.1084426   0.29939094  0.11911558 ... -0.22849035 -0.32796392
   0.3514103 ]
 [-0.10726722  0.33332002  0.14002581 ... -0.22613873 -0.3203095
   0.3012947 ]
 [-0.1621626   0.2454807   0.04000454 ... -0.1964242  -0.44654104
   0.3591467 ]]","[[0 1 2 1 0 2]
 [1 0 1 2 2 0]]",[1 1 0 0 1 1],[0],3,24_sample-1_PreparedStatement.executeQuery_graph_dump.txt
17,"[[-0.06082967  0.2875491   0.11948172 ... -0.16385971 -0.35888252
   0.35801312]
 [-0.12395582  0.31014127  0.16739663 ... -0.2069653  -0.30253607
   0.28232905]
 [-0.02273919  0.22282888  0.08168741 ... -0.3864857  -0.27604932
   0.24551775]
 [-0.08209039  0.27758685  0.08027826 ... -0.21914434 -0.33977598
   0.3313881 ]
 [-0.06744918  0.25882265 -0.02812051 ... -0.16796927 -0.36401904
   0.46769136]]","[[0 1 2 1 1 3 1 4 0 2 0 3 0 4]
 [1 0 1 2 3 1 4 1 2 0 3 0 4 0]]",[1 1 0 0 0 0 0 0 1 1 1 1 1 1],[0],5,137_sample-0_PreparedStatement.executeQuery_graph_dump.txt
18,"[[-0.10276207  0.25150496  0.11699191 ... -0.24420662 -0.31071135
   0.35174894]
 [-0.10575277  0.30740035  0.15307188 ... -0.1887808  -0.30164805
   0.2768039 ]
 [-0.17940667  0.2516183   0.04281153 ... -0.20239931 -0.44325915
   0.37593833]]","[[0 1 2 1 0 2]
 [1 0 1 2 2 0]]",[1 1 0 0 1 1],[0],3,4_sample-4_PreparedStatement.executeQuery_graph_dump.txt
19,"[[-0.1001407   0.22406457  0.04219769 ... -0.18801379 -0.31837738
   0.35725117]
 [-0.12877297  0.32767612  0.13901375 ... -0.21078366 -0.3361892
   0.30297828]
 [-0.14592585  0.34036854  0.09672756 ... -0.23682657 -0.29248732
   0.33348665]
 [-0.12003952  0.28443223 -0.08156686 ... -0.3107179  -0.32990834
   0.3692944 ]]","[[0 1 1 2 1 3 0 2 0 3]
 [1 0 2 1 3 1 2 0 3 0]]",[1 1 0 0 0 0 1 1 1 1],[0],4,230_sample-0_PreparedStatement.executeQuery_graph_dump.txt
20,"[[-0.10943149  0.2893504   0.1006313  ... -0.2081846  -0.34935725
   0.3131815 ]
 [-0.10726722  0.33332002  0.14002581 ... -0.22613873 -0.3203095
   0.3012947 ]
 [-0.1367688   0.26022625 -0.00850702 ... -0.19355899 -0.3822077
   0.3456062 ]]","[[0 1 2 1 0 2]
 [1 0 1 2 2 0]]",[1 1 0 0 1 1],[0],3,14_sample-1_PreparedStatement.executeQuery_graph_dump.txt
21,"[[-0.15213344  0.2538761   0.0620918  ... -0.20335156 -0.3000477
   0.37637523]
 [-0.12132975  0.32422474  0.16137302 ... -0.23190175 -0.31031972
   0.30321258]
 [-0.09299336  0.3444246   0.09927902 ... -0.2239922  -0.27603903
   0.31681567]
 [-0.04024796  0.2773734   0.06915286 ... -0.34759673 -0.26062256
   0.337632  ]]","[[0 1 1 2 1 3 0 2 0 3]
 [1 0 2 1 3 1 2 0 3 0]]",[1 1 0 0 0 0 1 1 1 1],[0],4,155_sample-0_PreparedStatement.executeQuery_graph_dump.txt
22,"[[-0.09417432  0.25023082  0.1138261  ... -0.16484773 -0.32876554
   0.3517494 ]
 [-0.12395582  0.31014127  0.16739663 ... -0.2069653  -0.30253607
   0.28232905]
 [-0.02273919  0.22282888  0.08168741 ... -0.3864857  -0.27604932
   0.24551775]
 ...
 [-0.04288366  0.18001269 -0.02746071 ... -0.29391575 -0.32610792
   0.37289742]
 [-0.06964395  0.16364193 -0.03126512 ... -0.22981201 -0.31604385
   0.3351402 ]
 [-0.0946791   0.2827386   0.08888127 ... -0.20687717 -0.33427662
   0.33237466]]","[[0 1 2 1 1 3 1 4 1 5 1 6 0 2 0 3 0 4 0 5 0 6]
 [1 0 1 2 3 1 4 1 5 1 6 1 2 0 3 0 4 0 5 0 6 0]]",[1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1],[0],7,6_sample-0_PreparedStatement.executeQuery_graph_dump.txt
23,"[[-0.06531395  0.27503666 -0.0702581  ... -0.31544223 -0.32015604
   0.23366997]
 [-0.12132975  0.32422474  0.16137302 ... -0.23190175 -0.31031972
   0.30321258]
 [-0.05265148  0.07677782 -0.15002808 ... -0.1046043  -0.4521908
   0.21389009]
 [-0.07697783  0.2359165   0.06526984 ... -0.20273796 -0.33517474
   0.30636913]]","[[0 1 2 1 1 3 0 2 0 3]
 [1 0 1 2 3 1 2 0 3 0]]",[1 1 0 0 0 0 1 1 1 1],[0],4,117_sample-0_PreparedStatement.executeQuery_graph_dump.txt
24,"[[-0.09151184  0.29746392  0.0649744  ... -0.21516065 -0.3805767
   0.3401124 ]
 [-0.10726722  0.33332002  0.14002581 ... -0.22613873 -0.3203095
   0.3012947 ]
 [-0.16034421  0.28966928  0.05964683 ... -0.19901438 -0.4256042
   0.37004295]]","[[0 1 2 1 0 2]
 [1 0 1 2 2 0]]",[1 1 0 0 1 1],[0],3,0_sample-1_PreparedStatement.executeQuery_graph_dump.txt
25,"[[-0.12575985  0.30455533  0.15674965 ... -0.20666744 -0.3844929
   0.3234899 ]
 [-0.13014624  0.31215703  0.15554954 ... -0.20301959 -0.3187309
   0.2880468 ]
 [-0.08264749  0.2350328   0.05815013 ... -0.15709345 -0.32801408
   0.30269235]]","[[0 1 1 2 0 2]
 [1 0 2 1 2 0]]",[1 1 0 0 1 1],[0],3,217_sample-0_PreparedStatement.executeQuery_graph_dump.txt
26,"[[-0.01079048  0.16128129  0.10886811 ... -0.20992048 -0.38781995
   0.21459624]
 [-0.12237192  0.28630757  0.11736631 ... -0.22360969 -0.33202863
   0.37627044]]","[[0 1]
 [1 0]]",[1 1],[0],2,14_sample-5_PreparedStatement.executeQuery_graph_dump.txt
27,"[[-0.0979091   0.24509266  0.14604357 ... -0.19001697 -0.34697318
   0.2934864 ]
 [-0.12132975  0.32422474  0.16137302 ... -0.23190175 -0.31031972
   0.30321258]
 [-0.08209039  0.27758685  0.08027826 ... -0.21914434 -0.33977598
   0.3313881 ]
 [-0.06106792  0.18992329 -0.03941505 ... -0.18274844 -0.3541753
   0.40826848]
 [-0.12051895  0.3847501   0.09546477 ... -0.2408664  -0.27755266
   0.34003985]]","[[0 1 1 2 1 3 1 4 0 2 0 3 0 4]
 [1 0 2 1 3 1 4 1 2 0 3 0 4 0]]",[1 1 0 0 0 0 0 0 1 1 1 1 1 1],[0],5,180_sample-0_PreparedStatement.executeQuery_graph_dump.txt
28,"[[-0.08135158  0.28266004  0.02302519 ... -0.2680412  -0.3327689
   0.3086508 ]
 [-0.13667475  0.3403781   0.11742315 ... -0.26501518 -0.3061984
   0.3384194 ]]","[[0 1]
 [1 0]]",[1 1],[0],2,97_sample-0_PreparedStatement.executeQuery_graph_dump.txt
29,"[[-0.16368416  0.20099622 -0.04303834 ... -0.14421365 -0.3567651
   0.33931696]
 [-0.12672025  0.34616005  0.16543496 ... -0.22959621 -0.3069543
   0.30561307]
 [-0.09299336  0.3444246   0.09927902 ... -0.2239922  -0.27603903
   0.31681567]
 ...
 [-0.08254777  0.26819986 -0.00257026 ... -0.19320999 -0.31491917
   0.27512535]
 [-0.13712323  0.26153272  0.08222368 ... -0.162268   -0.40652192
   0.41242602]
 [-0.08719659  0.19736952  0.08869599 ... -0.18837124 -0.35436168
   0.36814532]]","[[0 1 1 2 1 3 1 4 5 6 1 7 6 7 5 0 0 2 0 3 0 4 5 7]
 [1 0 2 1 3 1 4 1 6 5 7 1 7 6 0 5 2 0 3 0 4 0 7 5]]",[1 1 0 0 0 0 0 0 1 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1],[0],8,11_sample-0_PreparedStatement.executeQuery_graph_dump.txt
30,"[[-0.1411741   0.3379565   0.1177104  ... -0.24143343 -0.30779338
   0.31930333]
 [-0.13065886  0.32496     0.1458083  ... -0.2361387  -0.30128014
   0.30469817]
 [-0.11390674  0.1310055  -0.02698871 ... -0.17855993 -0.46007344
   0.27508393]
 [-0.08001809  0.2215483   0.11269392 ... -0.19681908 -0.33420074
   0.31214395]
 [-0.04024796  0.2773734   0.06915286 ... -0.34759673 -0.26062256
   0.337632  ]]","[[0 1 2 1 1 3 1 4 0 2 0 3 3 4]
 [1 0 1 2 3 1 4 1 2 0 3 0 4 3]]",[1 1 0 0 0 0 0 0 1 1 1 1 1 1],[0],5,53_sample-0_PreparedStatement.executeQuery_graph_dump.txt
31,"[[-0.1183824   0.28235632  0.07333978 ... -0.30204764 -0.33828655
   0.2501677 ]
 [-0.10358588  0.30416635  0.12620796 ... -0.17740642 -0.27971062
   0.2700284 ]
 [-0.09719735  0.22144482  0.08984927 ... -0.18088429 -0.3375953
   0.32700887]
 [-0.05805496  0.25438833  0.09138484 ... -0.31556687 -0.25596094
   0.3503078 ]]","[[0 1 1 2 1 3 0 2 2 3]
 [1 0 2 1 3 1 2 0 3 2]]",[1 1 0 0 0 0 1 1 1 1],[0],4,68_sample-0_PreparedStatement.executeQuery_graph_dump.txt
32,"[[-0.15319353  0.30028722  0.00063266 ... -0.2457233  -0.32618225
   0.29225743]
 [-0.11089072  0.32666057  0.16542143 ... -0.22467975 -0.30934817
   0.3008332 ]
 [-0.06016618  0.30730549  0.08611891 ... -0.40836033 -0.22541171
   0.3174523 ]]","[[0 1 1 2 0 2]
 [1 0 2 1 2 0]]",[1 1 0 0 1 1],[0],3,6_sample-5_PreparedStatement.executeQuery_graph_dump.txt
33,"[[-0.0839085   0.24226096  0.07134384 ... -0.20302016 -0.3867896
   0.23548876]
 [-0.11089072  0.32666057  0.16542143 ... -0.22467975 -0.30934817
   0.3008332 ]
 [-0.09299336  0.3444246   0.09927902 ... -0.2239922  -0.27603903
   0.31681567]
 [-0.04447908  0.21547957 -0.00649686 ... -0.1683253  -0.32653916
   0.40460014]]","[[0 1 1 2 1 3 0 2 0 3]
 [1 0 2 1 3 1 2 0 3 0]]",[1 1 0 0 0 0 1 1 1 1],[0],4,223_sample-0_PreparedStatement.executeQuery_graph_dump.txt
34,"[[-0.10083985  0.26420113  0.05076161 ... -0.22467709 -0.3498112
   0.34760374]
 [-0.10726722  0.33332002  0.14002581 ... -0.22613873 -0.3203095
   0.3012947 ]
 [-0.13383089  0.19800149 -0.00530833 ... -0.21626028 -0.5059381
   0.36193272]]","[[0 1 2 1 0 2]
 [1 0 1 2 2 0]]",[1 1 0 0 1 1],[0],3,16_sample-1_PreparedStatement.executeQuery_graph_dump.txt
35,"[[-0.04819986  0.27826586  0.07035524 ... -0.21930563 -0.30751488
   0.25729048]
 [-0.11915626  0.31253272  0.12378331 ... -0.24258189 -0.2983461
   0.3451507 ]]","[[0 1]
 [1 0]]",[1 1],[0],2,5_sample-9_PreparedStatement.executeQuery_graph_dump.txt
36,"[[-0.0956784   0.2798239   0.13405254 ... -0.15746683 -0.3355236
   0.37635908]
 [-0.12132975  0.32422474  0.16137302 ... -0.23190175 -0.31031972
   0.30321258]
 [-0.07891792  0.16320279 -0.03873246 ... -0.14327398 -0.461515
   0.2491139 ]
 ...
 [-0.02453489  0.24146229  0.04930947 ... -0.22140208 -0.3504269
   0.3568938 ]
 [-0.04360431  0.24920397  0.03396171 ... -0.23986188 -0.3292164
   0.34901893]
 [-0.12051895  0.3847501   0.09546477 ... -0.2408664  -0.27755266
   0.34003985]]","[[0 1 2 1 1 3 1 4 1 5 1 6 0 2 0 3 0 4 0 5 0 6]
 [1 0 1 2 3 1 4 1 5 1 6 1 2 0 3 0 4 0 5 0 6 0]]",[1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1],[0],7,148_sample-0_PreparedStatement.executeQuery_graph_dump.txt
37,"[[-0.14305486  0.33729604  0.0548094  ... -0.35600865 -0.3161453
   0.30438453]
 [-0.11526565  0.33784723  0.16104177 ... -0.22745793 -0.30486178
   0.29367462]
 [-0.08259472  0.1316157  -0.04657985 ... -0.0532607  -0.46088374
   0.3671455 ]
 [-0.09299336  0.3444246   0.09927902 ... -0.2239922  -0.27603903
   0.31681567]
 [-0.10313131  0.2677363  -0.00143868 ... -0.23603009 -0.37686828
   0.42174116]
 [ 0.00199944  0.3162724   0.1274853  ... -0.49075404 -0.29075104
   0.16903415]]","[[0 1 2 1 1 3 1 4 1 5 0 2 0 3 0 4 0 5 2 5]
 [1 0 1 2 3 1 4 1 5 1 2 0 3 0 4 0 5 0 5 2]]",[1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0],[0],6,90_sample-0_PreparedStatement.executeQuery_graph_dump.txt
38,"[[-0.11710761  0.25276455  0.02259644 ... -0.23356508 -0.2748833
   0.25564045]
 [-0.13546754  0.24353158  0.09098826 ... -0.30754003 -0.3011161
   0.3604451 ]
 [-0.15048462  0.28623542  0.07715116 ... -0.23688349 -0.37636968
   0.35061038]]","[[0 1 2 1 0 2]
 [1 0 1 2 2 0]]",[1 1 0 0 1 1],[0],3,12_sample-2_PreparedStatement.executeQuery_graph_dump.txt
39,"[[-0.07282594  0.3115247   0.08016129 ... -0.26161602 -0.3305785
   0.3584501 ]
 [-0.1268247   0.3407928   0.14540794 ... -0.23033483 -0.31239298
   0.29239592]
 [-0.02101771  0.24261431  0.08618924 ... -0.470056   -0.25528315
   0.24943441]
 [-0.11337783  0.2149794   0.09994674 ... -0.19769908 -0.33175737
   0.33039138]
 [-0.1274263   0.29723296  0.05636465 ... -0.28235385 -0.31185517
   0.38587192]]","[[0 1 2 1 1 3 1 4 0 2 0 3 3 4]
 [1 0 1 2 3 1 4 1 2 0 3 0 4 3]]",[1 1 0 0 0 0 0 0 1 1 1 1 1 1],[0],5,71_sample-0_PreparedStatement.executeQuery_graph_dump.txt
40,"[[-0.12159056  0.30514243  0.02991495 ... -0.3731837  -0.28373927
   0.2693814 ]
 [-0.10710933  0.33366117  0.17270207 ... -0.21510589 -0.3181545
   0.29932743]
 [-0.13996169  0.2682979   0.08389305 ... -0.20389718 -0.3737299
   0.42076883]
 [-0.06299575  0.23700656  0.06315561 ... -0.13267009 -0.33692738
   0.2874466 ]
 [-0.09369435  0.2608034   0.00220212 ... -0.19700678 -0.32595965
   0.46211806]]","[[0 1 2 1 1 3 1 4 0 2 0 3 3 4]
 [1 0 1 2 3 1 4 1 2 0 3 0 4 3]]",[1 1 0 0 0 0 0 0 1 1 1 1 1 1],[0],5,109_sample-0_PreparedStatement.executeQuery_graph_dump.txt
41,"[[-0.12017056  0.27172482  0.08926293 ... -0.18972056 -0.33700454
   0.3474298 ]
 [-0.14237274  0.32519203  0.10864846 ... -0.21856704 -0.3053978
   0.33702895]
 [-0.02273919  0.22282888  0.08168741 ... -0.3864857  -0.27604932
   0.24551775]]","[[0 1 2 1 0 2]
 [1 0 1 2 2 0]]",[1 1 0 0 1 1],[0],3,2_sample-2_PreparedStatement.executeQuery_graph_dump.txt
42,"[[-0.06634687  0.21700838  0.01301732 ... -0.27497804 -0.3377399
   0.17793322]
 [-0.13630627  0.33096913  0.07083818 ... -0.27428252 -0.3188489
   0.33903208]]","[[0 1]
 [1 0]]",[1 1],[0],2,5_sample-3_PreparedStatement.executeQuery_graph_dump.txt
43,"[[-0.13677132  0.33152547  0.04720185 ... -0.28702283 -0.28730068
   0.29290268]
 [-0.11055538  0.32957357  0.1622875  ... -0.21424478 -0.31603825
   0.30951893]
 [ 0.01408206  0.22159122  0.02576272 ... -0.34056112 -0.32591292
   0.1569151 ]
 [-0.06259022  0.23164612  0.05564244 ... -0.15096602 -0.34979445
   0.294975  ]
 [-0.04747543  0.24429815  0.0778715  ... -0.31262463 -0.28129423
   0.36118677]
 [-0.13670173  0.3663019   0.08053534 ... -0.23216236 -0.29739755
   0.34515747]]","[[0 1 2 1 1 3 1 4 1 5 0 2 0 3 3 4 0 5]
 [1 0 1 2 3 1 4 1 5 1 2 0 3 0 4 3 5 0]]",[1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1],[0],6,112_sample-0_PreparedStatement.executeQuery_graph_dump.txt
44,"[[-0.07211675  0.27355048 -0.00348638 ... -0.25060043 -0.30473015
   0.23089357]
 [-0.12129164  0.33611408  0.16218089 ... -0.23534925 -0.3134262
   0.31196293]
 [-0.08697497  0.36044326  0.10795662 ... -0.1943692  -0.33251408
   0.33985317]]","[[0 1 1 2 0 2]
 [1 0 2 1 2 0]]",[1 1 0 0 1 1],[0],3,165_sample-0_PreparedStatement.executeQuery_graph_dump.txt
45,"[[-0.12907739  0.29003328  0.09255219 ... -0.22003682 -0.3619938
   0.44523785]
 [-0.11089072  0.32666057  0.16542143 ... -0.22467975 -0.30934817
   0.3008332 ]
 [-0.16741936  0.256176    0.01885546 ... -0.1820768  -0.38446772
   0.35514158]
 [-0.05803538  0.23749457  0.06251837 ... -0.15084381 -0.34112272
   0.28845242]
 [-0.02680351  0.2711338   0.02959497 ... -0.3275158  -0.27111802
   0.26290813]
 [-0.06491964  0.22256157  0.02932405 ... -0.32908183 -0.31810802
   0.29936168]]","[[0 1 2 1 1 3 1 4 1 5 0 2 0 3 3 4 3 5]
 [1 0 1 2 3 1 4 1 5 1 2 0 3 0 4 3 5 3]]",[1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1],[0],6,177_sample-0_PreparedStatement.executeQuery_graph_dump.txt
46,"[[-0.13068385  0.30005118  0.07526265 ... -0.24319367 -0.39184412
   0.36637712]
 [-0.11089072  0.32666057  0.16542143 ... -0.22467975 -0.30934817
   0.3008332 ]
 [-0.09149884  0.17358457  0.00801703 ... -0.12599184 -0.38750157
   0.31241876]
 [-0.08001809  0.2215483   0.11269392 ... -0.19681908 -0.33420074
   0.31214395]
 [-0.09634366  0.32470053  0.0868859  ... -0.29000968 -0.30788895
   0.38042656]
 [-0.12051895  0.3847501   0.09546477 ... -0.2408664  -0.27755266
   0.34003985]]","[[0 1 2 1 1 3 1 4 1 5 0 2 0 3 0 5]
 [1 0 1 2 3 1 4 1 5 1 2 0 3 0 5 0]]",[1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1],[0],6,38_sample-0_PreparedStatement.executeQuery_graph_dump.txt
